conference;purpose;badges;evaluation_criteria;submission_criteria;artifact_types;per_type_criteria
PLDI16;reuse,validation of claims on artifacts,artifact availability improves reproducibility/reusability;;consistency,completeness,documentation,reusability;;software,proofs,models,test suites,benchmarks,videos of artifacts,more;none
SLE16;reproducibility;;consistency,completeness,documentation,reusability;artifact-eval.org;tools,grammars,datasets,proofs,links,models,videos,visualizations;none
PPoPP16;;;documentation,completeness,(just) usability,consistency,reusability;;code,non-code;submission criteria for code/non-code
CGO16;;;documentation,completeness,(just) usability,consistency,reusability;;code,non-code;submission criteria for code/non-code
CAV16;reuse,support paper;artifact evaluated;reusability,consistency,completeness,documentation;documentation for platform requirements/installation/external dependencies;software,data,mechanized proofs,models,test suites,more;none
FSE15;;;consistency,completeness,reusability,documentation;documentation for usage/maturity;tools,models,datasets,more;standard formats for non-code artifacts
ISSTA15;;;reusability,consistency,completeness,documentation;;data,experimental setups,test suites,tools,more;submission criteria for code
SAS15;reproducibility;;;VM only;;none
VISSOFT15;evidence for result quality;;;;tools,data,models,videos,more;submission criteria for code/non-code
OOPSLA15;reuse,comparison;;consistency,completeness,documentation,reusability;documentation for <= 30 min setup & testing/replication/output/expected execution time if exceeds few minutes;;submission criteria for data/tools
ECOOP15;;;consistency,documentation,integrity;documentation for usage;;submission criteria for data,submission suggestions for tools
POPL15;;;;documentation on maturity;;submission criteria for proofs/code/tools/data
PLDI15;reuse,validation of claims on artifacts,artifact availability improves reproducibility/reusability;;consistency,completeness,documentation,reusability;;software,proofs,models,test suites,benchmarks,videos of artifacts,more;none
PPoPP15;;;artifact-eval.org;artifact-eval.org;code,non-code;submission criteria for code/non-code
CGO15;;;artifact-eval.org;artifact-eval.org;code,non-code;submission criteria for code/non-code
CAV15;reuse,support paper;artifact evaluated;reusability,consistency,completeness,documentation;documentation for platform requirements/installation/external dependencies;software,data,mechanized proofs,models,test suites,more;none
FSE14;;;;;tools,data,model;none
ISSTA14;;;reusability,consistency,completeness,documentation;VM only;data,experimental setups,test suites,tools,more;submission criteria for tools
SAS14;reproducibility;;;VM only;;none
OOPSLA14;reuse,comparison;;consistency,completeness,documentation,reusability;documentation for <= 30 min setup & testing/replication/output/expected execution time if exceeds few minutes;;submission criteria for data/tools
ECOOP14;repeatability,comparison,reproducibility;;consistency,documentation,integrity;documentation for usage;tools,data,models,videos,more;submission criteria for data,submission suggestions for tools
PLDI14;;;artifact-eval.org;artifact-eval.org;code,non-code;submission criteria for code/non-code
FSE13;validation/support of results;;;;software;none
OOPSLA13;reuse;;consistency,completeness,documentation,reusability;setup <= 30 min;code,executables,data,VM images,documents,tools,proofs,more;submission criteria for data/documents
ECOOP13;;;;documentation (only);;submission criteria for code/non-code
FSE12;reproducibility,reuse;;reproducibility;;tools,data,proofs,scripts;none
FSE11;;;;documentation (only);software,non-code artifacts;submission formats
